No,Zaman (UTC),Ref1,Kaynak Aç?klama 1,Enlem,Boylam,Derinlik,Sabit Derinlik,Kaynak No 2,Kaynak Aç?klama 2,Tip,Büyüklük,Kaynak No 3,Kaynak Aç?klama 3,Yer
0,2020-01-11 13:37:36,0, ,40.8646,28.2086,10.82,-,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA,-
0,2019-10-10 16:52:03,0, ,40.6778,29.2473,13.86,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-09-26 11:26:36,0, ,40.8416,28.2726,4.58,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-09-26 10:59:25,0, ,40.8818,28.2140,7.97,-,7,AFAD-DDA,Mw,5.8,7,AFAD-DDA,-
0,2019-09-24 08:00:22,0, ,40.8836,28.2160,5.91,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-03-04 21:07:27,0, ,40.4570,28.4505,13.72,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-02-19 21:33:55,0, ,40.3521,27.1253,6.79,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2018-12-20 06:34:24,0, ,40.5938,28.9716,12.47,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2018-11-30 02:36:34,0, ,40.6025,28.9493,14.28,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2018-05-03 02:04:33,0, ,39.9670,26.8993,10.39,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2017-12-31 20:12:02,0, ,40.5491,27.8495,13.79,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2017-07-22 22:12:32,0, ,40.0158,27.1296,14.72,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2017-03-08 20:09:58,0, ,39.9650,27.6536,15.03,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2016-06-25 05:40:11,0, ,40.6985,29.2016,9.73,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2016-06-07 04:09:46,0, ,40.2590,29.1605,13.92,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2015-11-16 15:45:43,0, ,40.8181,28.7631,13.23,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2015-10-28 16:20:02,0, ,40.8003,27.7446,13.04,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2015-10-26 20:08:00,0, ,39.7781,26.2648,9.78,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2015-07-24 06:54:10,0, ,40.2425,26.2778,21.64,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2015-07-24 02:39:42,0, ,40.2473,26.2661,18.90,-,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA,-
0,2015-07-24 01:26:01,0, ,40.2488,26.2651,12.97,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2015-02-02 04:41:04,0, ,40.3083,26.0295,14.63,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2015-01-23 10:19:43,0, ,40.0455,28.5788,13.02,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2014-12-16 09:02:13,0, ,40.1298,27.0845,17.35,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2014-10-22 17:11:05,0, ,40.4113,30.1001,7.68,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2014-08-11 22:23:32,0, ,40.3210,26.0166,8.76,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2014-08-03 22:22:44,0, ,40.5916,29.1678,10.17,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2014-07-16 11:59:29,0, ,40.2411,26.2518,16.24,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2014-07-09 23:45:02,0, ,40.4121,26.2645,21.06,-,7,AFAD-DDA,ML,4.2,7,AFAD-DDA,-
0,2014-07-03 05:04:46,0, ,40.1931,27.9231,11.75,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2014-05-28 03:59:51,0, ,40.3923,26.1770,12.07,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2014-05-25 11:47:54,0, ,40.4411,26.0410,28.65,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2014-05-25 11:38:38,0, ,40.4128,26.1851,20.71,-,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA,-
0,2014-05-24 23:00:36,0, ,40.3895,25.9876,4.18,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2014-05-24 15:01:32,0, ,40.3770,26.1345,15.47,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2014-05-24 14:49:15,0, ,40.3816,26.0231,11.87,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2014-05-24 11:18:45,0, ,40.3861,26.2146,25.58,-,7,AFAD-DDA,ML,4.0,7,AFAD-DDA,-
0,2014-05-24 10:35:00,0, ,40.3970,26.1291,24.92,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2014-05-24 10:11:40,0, ,40.3888,26.1786,19.09,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2014-05-24 09:33:47,0, ,40.4213,26.2166,7.13,-,7,AFAD-DDA,ML,4.4,7,AFAD-DDA,-
0,2014-05-24 09:31:18,0, ,40.3951,26.3058,6.98,-,7,AFAD-DDA,Mw,5.3,7,AFAD-DDA,-
0,2014-01-13 10:51:26,0, ,39.8125,26.1363,12.10,-,7,AFAD-DDA,ML,4.1,7,AFAD-DDA,-
0,2014-01-07 19:41:21,0, ,39.7968,26.1410,12.10,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2013-11-27 04:21:36,0, ,40.8155,27.9080,9.06,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2013-11-27 04:13:37,0, ,40.8338,27.9051,18.83,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2013-08-29 06:20:34,0, ,40.3493,27.4590,26.15,-,7,AFAD-DDA,Ml,4.3,7,AFAD-DDA,-
0,2013-08-17 18:16:31,0, ,40.4132,29.1193,14.34,-,7,AFAD-DDA,Ml,4.5,7,AFAD-DDA,-
0,2013-07-12 00:36:57,0, ,40.3738,25.9460,27.85,-,7,AFAD-DDA,Ml,4.3,7,AFAD-DDA,-
0,2013-04-27 14:04:17,0, ,40.0497,25.9223,26.01,-,7,AFAD-DDA,Ml,4.0,7,AFAD-DDA,-
0,2013-01-11 21:56:16,0, ,40.3985,25.9448,24.78,-,7,AFAD-DDA,Ml,4.2,7,AFAD-DDA,-
12542,2012-07-25 21:28:29,0, ,40.4270,26.2208,27.77,-,7,AFAD-DDA,Ml,4.6,7,AFAD-DDA,-
12525,2012-07-04 08:45:28,0, ,39.9467,27.8910,24.28,-,7,AFAD-DDA,Ml,4.2,7,AFAD-DDA,-
12491,2012-06-07 20:54:25,0, ,40.8540,27.9235,14.90,-,21,KRDEA-ISK,Mw,5.0,10,HRVD-GCMT,-
12459,2012-05-04 05:38:14,0, ,40.3278,27.0180,23.85,-,7,AFAD-DDA,Ml,4.2,7,AFAD-DDA,-
12048,2011-08-16 17:30:07,0, ,40.4400,28.8900,5.00,-,21,KRDEA-ISK,Ml,4.0,21,KRDEA-ISK,-
12036,2011-07-25 17:57:20,0, ,40.8195,27.7498,6.97,-,7,AFAD-DDA,Mw,5.1,10,HRVD-GCMT,-
12031,2011-07-11 16:09:12,0, ,40.1382,29.9733,26.14,-,7,AFAD-DDA,Ml,4.7,7,AFAD-DDA,-
11947,2011-03-30 17:07:20,0, ,40.0500,27.8300,8.00,-,21,KRDEA-ISK,Ml,4.3,21,KRDEA-ISK,-
11935,2011-03-09 07:04:04,0, ,40.4300,28.0600,9.00,-,21,KRDEA-ISK,Ml,4.0,21,KRDEA-ISK,-
11902,2011-01-20 02:09:37,0, ,40.7100,29.7600,10.00,-,21,KRDEA-ISK,Ml,4.1,21,KRDEA-ISK,-
11894,2010-12-31 20:57:37,0, ,40.5800,27.3400,16.00,-,6,Kalafat ve Di?.2011,Ml,4.0,6,Kalafat ve Di?.2011,-
11860,2010-11-03 02:51:26,0, ,40.4250,26.2214,10.00,-,8,EMSC-CSEM,Mw,5.3,10,HRVD-GCMT,-
11844,2010-10-03 17:49:03,0, ,40.8323,28.1760,3.20,-,5,ISC,mb,4.4,14,NEIC,-
11814,2010-08-23 04:22:37,0, ,40.3769,25.9446,13.30,-,5,ISC,Ml,4.1,32,THE,-
11779,2010-06-11 10:56:45,0, ,40.4264,28.9573,12.90,-,5,ISC,mb,4.2,12,MOS,-
11771,2010-05-29 05:10:06,0, ,40.9500,26.6500,10.00,-,8,EMSC-CSEM,mb,4.0,8,EMSC-CSEM,-
11765,2010-05-15 14:08:22,0, ,41.2000,30.1300,5.00,-,6,Kalafat ve Di?.2011,Ml,4.3,6,Kalafat ve Di?.2011,-
11559,2009-08-08 13:52:39,0, ,40.3505,27.4303,13.20,-,5,ISC,mb,4.2,5,ISC,-
11556,2009-08-01 16:42:39,0, ,40.3700,28.2800,10.00,-,6,Kalafat ve Di?.2011,Ml,4.3,6,Kalafat ve Di?.2011,-
11448,2009-04-27 19:03:07,0, ,40.7405,27.5233,28.80,-,7,AFAD-DDA,Md,4.2,7,AFAD-DDA,-
11401,2009-01-24 15:58:39,0, ,40.8008,27.7800,12.00,-,5,ISC,mb,4.0,5,ISC,-
11179,2008-10-05 06:04:04,0, ,40.6103,29.0142,23.68,-,7,AFAD-DDA,Ml,4.2,7,AFAD-DDA,-
11112,2008-07-15 09:19:49,0, ,40.3700,27.4400,12.00,-,6,Kalafat ve Di?.2011,Ml,4.1,6,Kalafat ve Di?.2011,-
11102,2008-07-10 07:49:55,0, ,39.9940,27.7128,7.90,-,5,ISC,mb,4.3,5,ISC,-
11078,2008-06-03 06:59:22,0, ,40.1600,26.9200,9.00,-,6,Kalafat ve Di?.2011,Ml,4.0,6,Kalafat ve Di?.2011,-
11077,2008-06-01 03:35:24,0, ,40.1522,26.9157,4.20,-,5,ISC,mb,4.0,5,ISC,-
11068,2008-05-19 10:18:16,0, ,40.5000,27.8000,10.00,-,29,NEIS,Ml,4.0,15,ATH,-
11066,2008-05-12 15:11:26,0, ,40.6369,27.3714,11.20,-,5,ISC,Ml,4.5,32,THE,-
11012,2008-03-12 18:53:32,0, ,40.6380,28.9981,12.00,-,5,ISC,mb,4.2,5,ISC,-
10683,2007-01-28 18:06:59,0, ,40.5924,28.3862,10.00,*,5,ISC,Ml,4.0,32,THE,-
10649,2006-12-19 19:15:38,0, ,40.3855,28.3113,10.00,-,5,ISC,Md,4.0,15,ATH,-
10613,2006-10-25 11:56:05,0, ,40.4686,29.0075,9.50,-,5,ISC,mb,4.0,12,MOS,-
10612,2006-10-24 14:00:22,0, ,40.4430,29.0790,15.50,-,41,EHB,Mw,5.0,10,HRVD-GCMT,-
10607,2006-10-20 18:15:25,0, ,40.2380,28.0320,1.70,-,41,EHB,mb,4.8,5,ISC,-
10362,2005-11-04 20:12:09,0, ,40.6800,27.3000,13.00,-,6,Kalafat ve Di?.2011,mb,4.1,6,Kalafat ve Di?.2011,-
10015,2004-09-29 15:42:08,0, ,40.7907,28.9990,13.90,-,5,ISC,Ml,4.3,32,THE,-
9988,2004-08-13 15:13:44,0, ,40.8300,26.4300,10.00,-,6,Kalafat ve Di?.2011,mb,4.1,6,Kalafat ve Di?.2011,-
9943,2004-07-11 20:44:28,0, ,40.5382,27.1943,21.10,-,5,ISC,Ml,4.1,32,THE,-
9936,2004-06-27 15:31:46,0, ,40.9310,25.9875,2.30,-,5,ISC,mb,4.3,5,ISC,-
9911,2004-05-16 03:30:49,0, ,40.7270,29.3380,8.80,-,41,EHB,mb,4.4,5,ISC,-
9897,2004-04-19 15:27:17,0, ,40.6599,27.6444,25.00,-,5,ISC,Ml,4.3,15,ATH,-
9834,2003-12-23 13:07:45,0, ,39.8762,29.2787,9.00,-,5,ISC,mb,4.1,6,Kalafat ve Di?.2011,-
9833,2003-12-23 12:23:38,0, ,39.8800,29.2650,8.80,-,41,EHB,mb,4.6,5,ISC,-
9777,2003-08-31 07:50:56,0, ,40.4141,25.9407,3.10,-,5,ISC,Md,4.0,28,SOF,-
9755,2003-07-13 05:09:49,0, ,40.8018,27.4340,14.00,-,5,ISC,mb,4.1,6,Kalafat ve Di?.2011,-
9747,2003-07-09 22:08:50,0, ,40.3954,25.9244,17.50,-,5,ISC,mb,4.0,12,MOS,-
9745,2003-07-06 22:42:10,0, ,40.4050,25.9490,6.00,-,41,EHB,mb,4.3,5,ISC,-
9744,2003-07-06 22:05:48,0, ,40.4128,25.9607,8.20,-,5,ISC,mb,4.4,12,MOS,-
9743,2003-07-06 20:48:53,0, ,40.3811,25.9852,10.20,-,5,ISC,Md,4.1,28,SOF,-
9742,2003-07-06 20:10:18,0, ,40.4430,26.0390,15.00,-,41,EHB,Mw,5.2,10,HRVD-GCMT,-
9741,2003-07-06 19:10:29,0, ,40.4450,26.0740,15.00,-,41,EHB,Mw,5.7,10,HRVD-GCMT,-
9740,2003-07-05 21:58:29,0, ,40.4185,26.0478,10.20,-,5,ISC,Md,4.0,28,SOF,-
9719,2003-06-09 17:44:04,0, ,40.2010,28.0830,8.30,-,41,EHB,mb,4.5,5,ISC,-
9649,2003-03-20 12:25:35,0, ,40.0050,28.7787,13.60,-,5,ISC,mb,4.2,5,ISC,-
9460,2002-05-05 09:22:10,0, ,40.5450,28.3040,8.00,-,5,ISC,mb,4.0,12,MOS,-
9419,2002-03-23 02:36:10,0, ,40.8630,27.8300,7.00,-,5,ISC,mb,4.0,5,ISC,-
9400,2002-02-28 08:37:52,0, ,40.8020,28.1400,11.50,-,5,ISC,mb,4.1,5,ISC,-
9079,2001-03-14 20:34:20,0, ,40.8450,27.6110,11.00,-,5,ISC,Md,4.1,15,ATH,-
9050,2001-02-01 09:58:47,0, ,40.0810,27.7700,7.50,-,5,ISC,Ml,4.0,32,THE,-
9038,2001-01-16 03:33:02,0, ,40.9000,29.0700,13.00,-,5,ISC,mb,4.1,6,Kalafat ve Di?.2011,-
8922,2000-07-07 00:15:32,0, ,40.8630,29.3390,8.90,-,41,EHB,mb,4.5,5,ISC,-
8921,2000-07-05 23:20:38,0, ,40.3640,25.9880,10.40,-,5,ISC,mb,4.0,5,ISC,-
8824,2000-02-09 16:41:32,0, ,40.7700,29.9400,11.00,-,5,ISC,mb,4.1,6,Kalafat ve Di?.2011,-
8819,2000-01-31 14:38:51,0, ,40.7120,29.2520,9.70,-,5,ISC,mb,4.1,5,ISC,-
8715,1999-11-11 14:55:25,0, ,40.8040,30.2080,2.50,-,5,ISC,mb,4.0,5,ISC,-
8699,1999-10-20 23:08:21,0, ,40.8160,28.9920,10.00,*,41,EHB,mb,4.7,5,ISC,-
8687,1999-09-29 00:13:07,0, ,40.7340,29.3540,7.90,-,41,EHB,Mw,5.2,10,HRVD-GCMT,-
8682,1999-09-20 21:28:02,0, ,40.6180,27.6160,18.00,-,41,EHB,mb,4.7,5,ISC,-
8678,1999-09-18 00:48:26,0, ,40.5990,29.2250,9.30,-,41,EHB,mb,4.6,5,ISC,-
8677,1999-09-17 19:50:05,0, ,40.7740,30.1340,9.70,-,5,ISC,mb,4.4,5,ISC,-
8675,1999-09-13 11:55:30,0, ,40.7327,30.0169,17.80,-,8,EMSC-CSEM,Mw,5.8,10,HRVD-GCMT,-
8668,1999-09-09 01:32:08,0, ,40.7100,29.1400,11.00,-,6,Kalafat ve Di?.2011,mb,4.0,6,Kalafat ve Di?.2011,-
8645,1999-09-06 06:33:27,0, ,40.7880,29.7460,17.20,-,5,ISC,mb,4.0,39,LDG,-
8642,1999-09-04 10:30:53,0, ,40.7000,29.9350,10.40,-,5,ISC,mb,4.0,14,NEIC,-
8636,1999-08-31 22:28:34,0, ,40.6130,29.0770,4.50,-,5,ISC,mb,4.4,5,ISC,-
8635,1999-08-31 08:33:25,0, ,40.6970,29.9080,10.00,-,41,EHB,mb,4.6,5,ISC,-
8634,1999-08-31 08:10:52,0, ,40.7064,29.8943,20.00,-,8,EMSC-CSEM,Mw,5.1,10,HRVD-GCMT,-
8629,1999-08-26 17:49:39,0, ,40.7690,30.0030,12.20,-,5,ISC,mb,4.8,14,NEIC,-
8625,1999-08-24 18:58:58,0, ,40.7490,30.0230,9.00,-,5,ISC,mb,4.2,14,NEIC,-
8617,1999-08-22 01:47:30,0, ,40.6090,29.0750,23.90,-,5,ISC,mb,4.1,5,ISC,-
8613,1999-08-20 09:48:38,0, ,40.7380,29.8020,12.50,-,5,ISC,mb,4.0,14,NEIC,-
8612,1999-08-20 09:28:57,0, ,40.6050,29.1930,8.80,-,41,EHB,mb,4.5,5,ISC,-
8611,1999-08-20 00:03:02,0, ,40.7660,29.8460,9.50,-,5,ISC,mb,4.3,5,ISC,-
8609,1999-08-19 15:26:21,0, ,40.6190,29.0980,4.00,-,5,ISC,mb,4.1,5,ISC,-
8608,1999-08-19 15:17:47,0, ,40.5710,29.2050,14.00,-,41,EHB,Mw,5.1,10,HRVD-GCMT,-
8607,1999-08-19 14:24:34,0, ,40.6110,29.0210,5.10,-,5,ISC,mb,4.1,5,ISC,-
8606,1999-08-19 14:16:00,0, ,40.6000,29.1940,8.80,-,41,EHB,mb,4.5,5,ISC,-
8601,1999-08-18 15:34:17,0, ,40.7970,30.0690,7.60,-,5,ISC,mb,4.0,5,ISC,-
8597,1999-08-17 21:47:40,0, ,40.8210,30.0070,12.90,-,5,ISC,mb,4.1,14,NEIC,-
8595,1999-08-17 20:30:41,0, ,40.7400,29.2700,15.00,-,5,ISC,mb,4.1,6,Kalafat ve Di?.2011,-
8594,1999-08-17 18:35:22,0, ,40.4300,28.7200,7.00,-,5,ISC,mb,4.1,6,Kalafat ve Di?.2011,-
8592,1999-08-17 15:17:53,0, ,40.7680,29.7900,11.90,-,41,EHB,mb,4.1,5,ISC,-
8590,1999-08-17 14:31:11,0, ,40.4200,28.7000,8.00,-,6,Kalafat ve Di?.2011,mb,4.0,6,Kalafat ve Di?.2011,-
8586,1999-08-17 09:31:55,0, ,40.7220,30.0670,7.00,-,5,ISC,mb,4.2,5,ISC,-
8578,1999-08-17 06:01:33,0, ,40.7740,29.9100,11.40,-,5,ISC,mb,4.1,5,ISC,-
8576,1999-08-17 05:45:22,0, ,40.7440,30.0230,7.00,-,5,ISC,mb,4.3,5,ISC,-
8575,1999-08-17 05:10:10,0, ,40.7780,30.2300,10.00,-,41,EHB,mb,4.7,5,ISC,-
8572,1999-08-17 04:24:48,0, ,39.7610,27.8190,15.00,-,5,ISC,mb,4.1,5,ISC,-
8570,1999-08-17 04:14:23,0, ,40.7550,29.1540,10.00,-,5,ISC,mb,4.3,5,ISC,-
8564,1999-08-17 02:50:48,0, ,40.8370,30.1080,10.00,-,41,EHB,mb,4.9,5,ISC,-
8560,1999-08-17 02:23:12,0, ,40.5260,29.4200,19.60,-,5,ISC,mb,4.3,5,ISC,-
8557,1999-08-17 01:33:08,0, ,40.7850,29.2010,10.00,*,41,EHB,mb,4.7,5,ISC,-
8556,1999-08-17 01:31:56,0, ,40.7140,29.0270,1.20,-,5,ISC,mb,4.3,5,ISC,-
8555,1999-08-17 01:07:54,0, ,40.7980,30.0210,10.00,-,41,EHB,mb,4.6,5,ISC,-
8554,1999-08-17 00:57:44,0, ,40.7210,29.7170,20.00,-,5,ISC,mb,4.1,5,ISC,-
8551,1999-08-17 00:34:52,0, ,40.9550,30.0020,22.60,-,5,ISC,mb,4.0,5,ISC,-
8548,1999-08-17 00:16:28,0, ,40.7110,29.9110,10.00,-,41,EHB,mb,5.0,5,ISC,-
8546,1999-08-17 00:01:39,0, ,40.7700,30.0040,15.00,-,41,EHB,Mw,7.6,10,HRVD-GCMT,Gölcük-Kocaeli
8417,1999-04-08 10:12:55,0, ,40.1870,27.3290,2.90,-,5,ISC,Ml,4.0,32,THE,-
8385,1999-02-28 03:14:15,0, ,40.4100,25.9500,9.80,-,5,ISC,Ml,4.0,15,ATH,-
8255,1998-09-25 16:20:09,0, ,40.1997,28.8815,10.00,*,5,ISC,mb,4.0,5,ISC,-
8228,1998-07-19 16:27:04,0, ,40.7165,27.3965,3.60,-,5,ISC,Ml,4.1,32,THE,-
8130,1998-01-19 03:37:01,0, ,40.4171,26.0935,11.70,-,5,ISC,Ml,4.0,15,ATH,-
8126,1997-12-28 20:46:38,0, ,39.7731,26.8792,10.00,-,5,ISC,mb,4.1,5,ISC,-
8084,1997-10-25 00:38:42,0, ,40.4500,26.3900,10.00,-,5,ISC,mb,4.2,6,Kalafat ve Di?.2011,-
8079,1997-10-18 10:18:27,0, ,39.8140,28.6228,6.50,-,5,ISC,Ml,4.0,32,THE,-
8078,1997-10-18 09:18:53,0, ,39.8034,28.6668,4.70,-,5,ISC,Ml,4.4,32,THE,-
7680,1996-04-14 08:31:07,0, ,40.7867,27.4739,19.90,-,5,ISC,mb,4.0,5,ISC,-
7668,1996-03-21 13:02:21,0, ,40.2520,29.5740,15.00,-,41,EHB,mb,4.0,5,ISC,-
7651,1996-02-22 15:28:29,0, ,40.2700,25.9600,10.00,-,6,Kalafat ve Di?.2011,mb,4.1,6,Kalafat ve Di?.2011,-
7610,1995-10-28 10:45:01,0, ,40.8354,27.9717,24.80,-,5,ISC,mb,4.0,5,ISC,-
7569,1995-08-19 19:57:13,0, ,40.2287,29.6105,16.10,-,5,ISC,mb,4.2,5,ISC,-
7549,1995-07-07 18:15:57,0, ,40.4849,29.3264,8.70,-,5,ISC,mb,4.1,5,ISC,-
7499,1995-04-18 05:36:04,0, ,40.8648,27.7453,22.30,-,5,ISC,mb,4.7,5,ISC,-
7496,1995-04-13 04:08:03,0, ,40.8500,27.7400,22.60,-,41,EHB,mb,4.8,5,ISC,-
7446,1995-02-08 21:24:52,0, ,40.8032,27.7735,10.00,-,5,ISC,mb,4.4,5,ISC,-
7357,1994-06-22 16:43:59,0, ,40.1659,27.4254,8.60,-,5,ISC,Ml,4.0,32,THE,-
7356,1994-06-20 01:36:16,0, ,40.5711,27.3396,11.60,-,5,ISC,mb,4.1,5,ISC,-
7348,1994-05-28 18:01:19,0, ,40.6889,29.8780,9.80,-,5,ISC,mb,4.0,12,MOS,-
7324,1994-04-06 15:33:08,0, ,40.0729,28.1002,6.90,-,5,ISC,Ml,4.0,32,THE,-
7321,1994-03-28 16:59:01,0, ,40.3946,29.9607,17.30,-,5,ISC,mb,4.0,14,NEIC,-
7304,1994-02-21 04:36:21,0, ,40.2039,29.3188,2.40,-,5,ISC,mb,4.0,5,ISC,-
